,importance
src_pkts,0.02873744451811251
dst_pkts,0.021838475059511066
dst_ip_bytes,0.017947995059554377
src_ip_bytes,0.011633580769131124
duration,0.010619010866336964
dst_bytes,0.0069847471258896125
src_bytes,0.004703708208091894
http_response_body_len,0.0012379435002944472
dns_qtype,0.0011189809198902888
dns_qclass,0.0011036951226211622
